MedID,Medication
1155,Allyl Cyclohexane Valerate (3 x 0.5 mL)
1156,Allyl Disulfide (5 x 0.5 mL)
1157,Allyl Sulfide (5 x 0.5 mL)
1158,Almond Oil (1 g)
1159,Almotriptan Malate (200 mg)
1160,Almotriptan Related Compound A (20 mg) ({3-[2-(Dimethylamino)ethyl]-5-[(pyrrolidine-1-yl)sulfonylmethyl]-1H-indol-1-yl}methanol)
1161,Almotriptan Related Compound B (15 mg) (2-{5-[(pyrrolidin-1-ylsulfonyl)methyl]-1H-indol-3-yl}ethanamine hemifumarate)
1162,Almotriptan Related Compound C (15 mg) (N-methyl-2-{5-[(pyrrolidin-1-ylsulfonyl)methyl]-1H-indol-3-yl}ethanamine)
1163,Almotriptan Related Compound D (15 mg) (1-[({3-[2-(dimethylamino)ethyl]indol-5-yl}methyl)sulfonyl]pyrrolidine N-oxide hydrochloride)
1164,Almotriptan System Suitability (20 mg) (Mixture of Almotriptan Malate and Almotriptan Monomethyl Analog)
1165,Aloin (25 mg) (Aloin A; (S)-10-Beta-D-Glucopyranosyl-1 - 8-dihydroxy-3-hydroxymethylanthracen-9(10H)-one)
1166,Alosetron Hydrochloride (200 mg) (2 - 3 - 4 - 5-Tetrahydro-5-methyl-2-[(5-methylimidazol-4-yl)methyl]-1H-pyrido[4 - 3-b]indol-1-one hydrochloride)
1167,Alosetron Related Compound A (25 mg) (5-Methyl-2 - 3 - 4 - 5-tetrahydro-1H-pyrido[4 - 3-b]indol-1-one)
1168,Alpha Cyclodextrin (500 mg)
1169,Alpha Lipoic Acid (500 mg)
1170,Alpha Tocopherol (250 mg)
1171,Alpha Tocopheryl Acetate (250 mg) (Vitamin E Acetate) (COLD SHIPMENT REQUIRED)
1172,Alpha Tocopheryl Acid Succinate (250 mg) (Vitamin E Succinate)
1173,Alpha-Damascone (3 x 0.5 mL)
1174,Alpha-Lactalbumin (400 mg) (COLD SHIPMENT REQUIRED)
1175,Alprazolam CIV (200 mg)
1176,Alprazolam Related Compound A (30 mg) (2-(2-acetylhydrazino)-7-chloro-5-phenyl-3H-1 - 4-benzodiazepine)
1177,Alprostadil (25 mg)
1178,Altretamine (500 mg)
1179,Aluminum Sulfate (2 g) (AS)
1180,Amantadine Hydrochloride (200 mg)
1181,Amantadine Related Compound A (25 mg) (1-Chloroadamantane)
1182,Amantadine Related Compound B (25 mg) (N-(Adamantan-1-yl)acetamide)
1183,Amaranth (50 mg)
