col_zero,col_one,col_two,col_three,col_four
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Pigmented Lesion
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Diffuse White Infiltrate
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Focal White Infiltrate
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Dendritic Ulcer
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Small Punctate White Spots
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Corneal Ulcer
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Cornea / Anterior Chamber Abnormality,Hypopyon
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Conjunctival Injection
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Hemorrhage
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Defect Or Ulceration
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Bulbar Conjunctival Plaque
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Color Change
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Bulbar Conjunctiva Pigmented Macule
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Cyst
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Sclera / Bulbar Conjunctiva,Sclera / Bulbar Conjunctiva Edema
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Eyelid Ptosis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Eyelid Retraction
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Ectropion
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Entropion
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Eyelid / Eye Abnormal Position,Motility Disorder
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Proptosis
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Enophthalmos
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Eyelid Edema
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Orbit / Eyelid Abnormality,Orbital Displacement
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Optic Disc / Nerve Abnormality
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Retinal Vascular Abnormality
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Macula Abnormality
vdx_ophthalmology,Ocular pain,Eye Lesions & Abnormalities,Posterior Segment Abnormality,Vitreous Abnormality
vdx_ophthalmology,Ocular pain,Nagetive Findings,No skin findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No cardiovascular findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No dysmorphologic/malformation features,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No gastrointestinal findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No HEENT findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No musculoskeletal findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No neurologic findings,
vdx_ophthalmology,Ocular pain,Nagetive Findings,No medication use (prescription or OTC),
vdx_ophthalmology,Ocular pain,Nagetive Findings,No respiratory findings,
vdx_ophthalmology,Diplopia,Sub Type,Binocular diplopia,
vdx_ophthalmology,Diplopia,Sub Type,Monocular diplopia,
vdx_ophthalmology,Diplopia,Sub Type,None,
vdx_ophthalmology,Diplopia,Timing,Persistent diplopia,
vdx_ophthalmology,Diplopia,Timing,Intermittent diplopia,
vdx_ophthalmology,Diplopia,Timing,None,
vdx_ophthalmology,Diplopia,Symptoms,Ocular pain,
vdx_ophthalmology,Diplopia,Symptoms,Blurred vision,
