abacavir
oxprenolol
oxybuprocaine
oxybutynin
oxycodone
oxyfedrine
oxymetazoline
oxymetholone
oxyphencyclimine
oxytetracycline
oxytocin
oxytocin + ergometrine
paclitaxel
paliperidone
palivizumab
palonosetron
pamidronic acid
pancreatin
pancuronium bromide
pantoprazole
pantoprazole + domperidone
pantothenic acid
para-aminosalicylic acid
paracetamol
paracetamol + ascorbic acid
paracetamol + codeine
paracetamol + metoclopramide
paracetamol + orphenadrine
paracetamol + pentazocine
paraffin
paraldehyde
paramethasone
parecoxib
parnaparin
paromomycin
paroxetine
pefloxacin
pegfilgrastim
peginterferon alfa-2a
peginterferon alfa-2b
pelargonium sidoides extract
pemetrexed
pemirolast
pemoline
penbutolol
penciclovir
penfluridol
penicillamine
pentaerythrityl tetranitrate
pentamidine isetionate
pentastarch
pentazocine
pentosan polysulfate sodium
pentoxifylline
pentoxyverine
peppermint oil
perazine
pergolide
periciazine
perindopril
perindopril + indapamide
permethrin
perphenazine
pethidine
phenazone
phenazopyridine
phenelzine
phenindamine
phenindione
pheniramine
phenobarbital
phenobarbital + phenytoin
phenol
phenoxybenzamine
phenoxymethylpenicillin
phentermine
phentolamine
phenylbutazone
phenylephrine
phenytoin
phosphatidyl choline
phthalylsulfathiazole
physostigmine
phytomenadione
picloxydine
pidotimod
pilocarpine
pilsicainide hydrochloride
pimecrolimus
pimethixene
pimozide
pinaverium
pinazepam
pindolol
pioglitazone
pioglitazone + glimepiride
pioglitazone + metformin
pipecuronium
piperacillin
piperacillin + tazobactam
piperazine
pipotiazine
piracetam
pirarubicin
pirenoxine sodium
pirenzepine
piretanide
piribedil
piroxicam
piroxicam beta-cyclodextrin
pirprofen
pitavastatin
pivampicillin
pivmecillinam
pizotifen
plicamycin
podophyllotoxin
policresulen
polymyxin b
polymyxin b + neomycin + hydrocortisone
polythiazide
polyvinyl alcohol
posaconazole
potassium acetate
potassium chloride
potassium iodide
potassium permanganate
potassium phosphate
povidone iodine
pralidoxime
pramipexole
pranlukast
pranoprofen
prasugrel
pravastatin
prazepam
praziquantel
prazosin
prednicarbate
prednisolone
prednisone
pregabalin
prethcamide
pridinol
prifinium bromide
prilocaine
prilocaine + felypressin
primaquine
primidone
pristinamycin
probenecid
probucol
procainamide
procaine
procarbazine
procaterol
prochlorperazine
procyclidine
progesterone
proglumetacin
proglumide
proguanil
promazine
promegestone
promethazine
propacetamol
propafenone
propantheline
propiverine
propofol
propranolol
propranolol + hydrochlorothiazide
propylthiouracil
propyphenazone
proscillaridin
protamine sulfate
protionamide
protirelin
prulifloxacin
pseudoephedrine
pyrantel
pyrazinamide
pyridostigmine bromide
pyridoxine
pyrimethamine
pyritinol
quetiapine
quinagolide
quinapril
quinidine
quinine
quinupristin + dalfopristin
rabeprazole
rabeprazole + itopride
rabies immunoglobulin
racecadotril
raloxifene
raltitrexed
ramipril
ramipril + hydrochlorothiazide
ramosetron
ranitidine
ranolazine
rasburicase
rebamipide
reboxetine
remifentanil
repaglinide
reproterol
reserpine
resorcinol
retapamulin
reteplase
retinol
reviparin sodium
ribavirin
riboflavin
rifabutin
rifampicin
rifampicin + isoniazid
rifampicin + isoniazid + pyrazinamide
rilmenidine
riluzole
rimantadine
rimexolone
rimiterol
ringers solution
risedronic acid
risperidone
ritodrine
ritonavir
rituximab
rivastigmine
rizatriptan
rociverine
rocuronium bromide
ropinirole
ropivacaine
rosoxacin
rosuvastatin
rosuvastatin
roxatidine
roxithromycin
rufloxacin
rupatadine
salbutamol
salbutamol + theophylline
salicylamide
salicylic acid
salmeterol
salmeterol + fluticasone
salsalate
s-amlodipine
s-amlodipine + nebivolol
saquinavir
sargramostim
s-atenolol
satranidazole
scorpion venom antisera
secnidazole
selegiline
selenium
selenium sulfide
senna / sennosides a & b
sermorelin
serrapeptase
sertaconazole
sertraline
sevelamer
sevoflurane
sildenafil
silver nitrate
silver sulfadiazine
silymarin
simeticone
simvastatin
simvastatin + ezetimibe
sirolimus
sisomicin
sitagliptin
snake venom antisera
sodium acetate
sodium aurothiomalate
sodium bicarbonate
sodium calcium edetate
sodium chloride
sodium fluoride
sodium hyaluronate
sodium lactate
sodium nitroprusside
sodium phenylbutyrate
sodium phosphate
sodium polystyrene sulfonate
sodium thiosulfate
solifenacin
somatostatin
somatrem
somatropin
sorafenib
sotalol
sparfloxacin
spectinomycin
spiramycin
spironolactone
stanozolol
stavudine
streptodornase
streptokinase
streptomycin
streptozocin
strontium ranelate
sucralfate
sufentanil
sulbactam
sulbenicillin
sulbutiamine
sulconazole
sulfabenzamide
sulfacetamide
sulfadiazine
sulfadiazine + trimethoprim
sulfadimidine
sulfadoxine + pyrimethamine
sulfafurazole
sulfaguanidine
sulfalene
sulfamerazine
sulfamethizole
sulfamethoxazole
sulfamethoxazole + trimethoprim
sulfamoxole + trimethoprim
sulfanilamide
sulfasalazine
sulfathiazole
sulfinpyrazone
sulfur
sulglicotide
sulindac
sulodexide
sulpiride
sulprostone
sultamicillin
sultopride
sumatriptan
suprofen
suxamethonium
tacrine
tacrolimus
tadalafil
tamoxifen
tamsulosin
tamsulosin + dutasteride
taurine
tazarotene
tegafur
teicoplanin
telbivudine
telithromycin
telmisartan
temazepam
temoporfin
temozolomide
tenecteplase
teniposide
tenofovir
tenofovir + emtricitabine
tenonitrozole
tenoxicam
teprenone
terazosin
terbinafine
terbutaline
terconazole
teriparatide
terlipressin
tertatolol
testosterone and derivatives
tetanus immunoglobulin
tetrabenazine
tetracaine
tetracosactide
tetracycline
tetrazepam
tetryzoline
thalidomide
theodrenaline
theophylline
thiamazole
thiamine
thiamphenicol
thiocolchicoside
thioctic acid
thiomersal
thiopental sodium
thioridazine
thiotepa
thymalfasin
thymol
tiabendazole
tiagabine
tianeptine
tiapride
tiaprofenic acid
tibolone
ticarcillin
ticarcillin + clavulanic acid
ticlopidine
tigecycline
tiludronic acid
timepidium bromide
timolol
timolol + dorzolamide
tinidazole
tioconazole
tioguanine
tiopronin
tiotixene
tiotropium bromide
tipranavir
tirofiban
tiropramide
tixocortol
tizanidine
tobramycin
tobramycin + dexamethasone
tocainide
tocopheryl nicotinate
tofisopam
tolazamide
tolazoline hydrochloride
tolbutamide
tolcapone
tolciclate
tolfenamic acid
tolmetin sodium
tolnaftate
toloxatone
tolperisone
tolterodine
topiramate
topotecan
torasemide
toremifene
tramadol
tramadol + paracetamol
tramazoline
tramazoline + dexamethasone
trandolapril
tranexamic acid
trapidil
trastuzumab
travoprost
trazodone
tretinoin
tretinoin tocoferil
tretoquinol hydrochloride
triamcinolone
triamcinolone + nystatin + neomycin + gramicidin
triamterene
triazolam
trichlormethiazide
triclosan
trientine dihydrochloride
trifluoperazine
triflupromazine
trifluridine
triflusal
trihexyphenidyl
trimebutine
trimetazidine
trimethoprim
trimetrexate
trimipramine
tripelennamine
triprolidine
triprolidine + pseudoephedrine
triprolidine + pseudoephedrine + dextromethorphan
triptorelin
tritoqualine
trofosfamide
trolamine salicylate
troleandomycin
tromantadine
tropicamide
tropisetron
trospium chloride
trovafloxacin mesilate
troxerutin
troxipide
tryptophan
tuaminoheptane sulfate
tuberculin purified protein derivative
tulobuterol hydrochloride
tyrothricin
ubidecarenone
unoprostone
urapidil
urea
urofollitropin
urokinase
ursodeoxycholic acid
vaccine, bcg
vaccine, cholera
vaccine, diphtheria and tetanus toxoid
vaccine, diphtheria toxoid
vaccine, dtp
vaccine, dtp-hib
vaccine, dtp-hib-hbv-pol
vaccine, dtp-hib-pol
vaccine, hepatitis a
vaccine, hepatitis b
vaccine, hib conjugate vaccine (meningococcal protein conjugate)
vaccine, human papillomavirus types 16 and 18 (recombinant)
vaccine, influenza
vaccine, japanese encephalitis
vaccine, measles
vaccine, mmr
vaccine, mumps
vaccine, pertussis
vaccine, pneumococcal
vaccine, poliomyelitis
vaccine, rabies
vaccine, rotavirus
vaccine, rubella
vaccine, tetanus toxoid, tetanus toxoid adsorbed
vaccine, typhoid
vaccine, varicella-zoster
vaccine, yellow fever
vaccinium myrtillus extr
valaciclovir
valethamate
valproic acid
valsartan
valsartan + hydrochlorothiazide
vancomycin
vardenafil
varenicline
varicella-zoster immunoglobulins
vasopressin
vecuronium bromide
venlafaxine
veralipride
verapamil
verteporfin
vidarabine
vigabatrin
vildagliptin
viloxazine
vinblastine
vinburnine
vincamine
vincristine sulfate
vindesine
vinorelbine tartrate
vinpocetine
viscum album
vitamin e
vitis vinifera
voglibose
voriconazole
warfarin
white petrolatum
xantinol nicotinate
xibornol
xipamide
xylometazoline
zafirlukast
zalcitabine
zaleplon
zanamivir
zidovudine
zinc oxide
zinc sulfate
ziprasidone
zoledronic acid
zolmitriptan
zolpidem
zonisamide
zopiclone
zotepine
zuclopenthixol
